movie,decade,rating,country,genre
Stowaway,2020,3,USA,"Adventure, Sci-Fi, Thriller"
Mortal Kombat,1990,1,USA,"Action, Adventure, Fantasy"
Barb and Star Go to Vista Del Mar,2020,3,USA,"Comedy, Fantasy"
"Mitchells vs the Machines, The",2020,3,USA,"Animation, Adventure, Comedy"
Us Again,2020,0,USA,"Animation, Short, Drama"
Oxygen,2020,3,USA,"Drama, Fantasy, Sci-Fi"
Without Remorse,2020,1,USA,"Action, Drama, Thriller"
Black Widow,1980,3,USA,"Crime, Drama, Mystery"
Inside,2020,0,USA,"Documentary, Comedy, Drama"
Cruella,2020,3,USA,"Adventure, Comedy, Crime"
"Kissing Booth 3, The",2020,3,USA,"Comedy, Romance"
Malignant,2020,3,USA,"Crime, Horror, Mystery"
"Eyes of Tammy Faye, The",2020,3,USA,"Biography, Drama, Romance"
Spiral: From the Book of Saw,2020,3,USA,"Horror, Mystery, Thriller"
Afterlife of the Party,2020,3,USA,"Comedy, Drama, Fantasy"
Escape Room: Tournament of Champions,2020,3,USA,"Action, Adventure, Horror"
In the Heights,2020,3,USA,"Drama, Musical, Romance"
Shang-Chi and the legend of the ten rings,2020,3,USA,"Action, Adventure, Fantasy"
Cinderella,1950,3,USA,"Animation, Family, Fantasy"
America: The Motion Picture,2020,3,USA,"Animation, Action, Adventure"
Fatherhood,2020,3,USA,"Comedy, Drama"
"Conjuring: The Devil Made Me Do It, The",2020,1,USA,"Horror, Mystery, Thriller"
F9 - The Fast Saga,2020,3,USA,"Action, Crime, Thriller"
Fear Street: Part One - 1994,2020,3,USA,"Drama, Horror, Mystery"
Luca,2020,3,USA,"Animation, Adventure, Comedy"
Fear Street: Part Two - 1978,2020,3,USA,"Drama, Horror, Mystery"
Plan B,2020,3,USA,Comedy
To All the Boys: Always and Forever,2020,3,USA,"Comedy, Drama, Romance"
Space Jam: A New Legacy,2020,3,USA,"Animation, Adventure, Comedy"
Sweet Girl,2020,3,USA,"Action, Drama, Thriller"
Old,2020,3,USA,"Drama, Horror, Mystery"
"Hitman&#39;s Wife&#39;s Bodyguard, The",2020,0,USA,"Action, Comedy, Crime"
Jungle Cruise,2020,3,USA,"Action, Adventure, Comedy"
Gunpowder Milkshake,2020,3,USA,"Action, Crime, Thriller"
Pig,2020,0,USA,"Drama, Mystery"
Secret Agent Dingledorf and His Trusty Dog Splat,2020,1,USA,"Comedy, Family"
Those Who Wish Me Dead,2020,1,USA,"Action, Drama, Thriller"
"Suicide Squad, The",2020,3,USA,"Action, Adventure, Comedy"
Fear Street: Part Three - 1666,2020,3,USA,"Horror, Mystery"
"Marksman, The",2020,2,USA,"Action, Drama, Thriller"
Free Guy,2020,1,USA,"Action, Adventure, Comedy"
"Green Knight, The",2020,1,USA,"Adventure, Drama, Fantasy"
Good on Paper,2020,3,USA,"Comedy, Romance"
Reminiscence,2020,2,USA,"Mystery, Romance, Sci-Fi"
Army of the Dead,2020,3,USA,"Action, Crime, Drama"
"Influencer, The",2020,3,USA,"Comedy, Drama, Thriller"
No Sudden Move,2020,3,USA,"Crime, Drama, Mystery"
"Little Things, The",2020,3,USA,"Crime, Drama, Mystery"
Dune,1980,3,USA,"Action, Adventure, Sci-Fi"
#Nofilter,2020,0,USA,"Short, Horror"
CODA,2020,3,USA,"Comedy, Drama, Music"
No Time To Die,2020,2,USA,"Action, Adventure, Thriller"
"Many Saints of Newark, The",2020,2,USA,"Crime, Drama"
"Guilty, The",2020,1,USA,"Crime, Drama, Thriller"
Spider-Man: No Way Home,2020,3,USA,"Action, Adventure, Fantasy"
Till Death,2020,0,USA,Thriller
"Last Duel, The",2020,3,USA,"Action, Drama, History"
"Harder They Fall, The",2020,3,USA,"Action, Drama, Western"
Passing,2020,3,USA,"Drama, Mystery, Thriller"
Venom Let there be Carnage,2020,2,USA,"Action, Sci-Fi, Thriller"
Night Teeth,2020,2,USA,"Action, Crime, Drama"
Eternals,2020,3,USA,"Action, Adventure, Fantasy"
Respect,2020,3,USA,"Biography, Drama, Music"
"French Dispatch, The",2020,3,USA,"Comedy, Drama, Romance"
"Lost Daughter, The",2020,3,USA,Drama
Eye of the Beholder,2020,3,USA,"Short, Horror"
Red Notice,2020,1,USA,"Action, Comedy, Thriller"
Memoria,2020,3,USA,"Drama, Mystery, Sci-Fi"
There&#39;s Someone Inside Your House,2020,3,USA,"Horror, Mystery, Thriller"
Encanto,2020,3,USA,"Animation, Comedy, Family"
Love Hard,2020,2,USA,"Comedy, Romance"
West Side Story,1960,3,USA,"Crime, Drama, Musical"
Every Time a Bell Rings,2020,3,USA,Romance
Single All The Way,2020,3,USA,"Comedy, Drama, Romance"
"Matrix Resurrections, The",2020,3,USA,"Action, Sci-Fi"
Don&#146;t Look Up,2020,3,USA,"Comedy, Drama, Sci-Fi"
